id,brand,model,ram,hd_type,hd_size,screen_size,price,processor_brand,processor_model,clock_speed,graphic_card_brand,graphic_card_size,os,weight,comments
71,HP,15q-BU008TX,4,hdd,1024,15.6,3399,intel,i3,2,amd,,linux,2.1,
72,HP ,Pavilion 14-AL176TX,8,hdd,1024,14,5799,intel,i5,2.5,nvidia,2,windows,1.58,
73,Dell,Inspiron 15 5000 5567,16,hdd,2048,15.6,8635,intel,i7,3.5,amd,4,windows,2.4,
74,HP ,Pavilion x360 14-ba075TX ,8,hdd,1024,14,5149,intel,i3,2.4,nvidia,2,windows,1.72,
75,Lenovo,G50-80 80E503CMIH,8,hdd,1024,15.6,4250,intel,i5,2.2,amd,2,linux,3.2,customer rating 3.8
76,Acer,Aspire ES1-523 ,4,hdd,1024,15.6,1946,amd,A4-7210,1.8,amd,,linux,2.4,
77,HP,15-bs541TU,4,hdd,1024,15.6,3499,intel,i3,2,intel,,windows,2.1,
78,Dell,Inspiron 15 Gaming 5577,8,hdd,1024,15.6,8300,intel,i7,3.8,nvidia,4,windows,2.6,
79,HP,15-bs541TU,8,hdd,1024,15.6,3659,intel,i3,2,amd,,linux,2.1,
80,Lenovo,59422410,8,hdd,1024,15.6,4219,intel,i3,1.7,amd,2,windows,2.4,customer rating 3.9
81,Dell,Inspiron 5378,8,ssd,256,13.3,7659,intel,i7,2.7,intel,2,windows,1.6,"Laptop with Built-in Battery, AC Adapter with Power Cord, Manuals"
82,Lenovo,100 80QQ01BBIH,4,hdd,1024,15.6,4279,intel,i5,2.2,nvidia,2,windows,2.3,customer rating 2.9
83,HP,15q-Bu014TU ,4,hdd,1024,15.6,3999,intel,i5,2.5,intel,,windows,2.1,
84,HP,L8E74UT#ABA,2,ssd,500,11.6,4026,intel,i5,,intel,,windows,1.28,
85,Dell,Inspiron 17 7567,16,ssd,256,15.6,11978,intel,i7,2.8,,,windows,4.1,
86,Acer,A315-31CDC UN.GNTSI.001,2,ssd,500,15.6,1799,intel,Celeron,1.1,intel,,windows,2.1,
87,Lenovo,G50-80 80E5021EIN,4,hdd,1024,15.6,4299,intel,i5,2.2,intel,,linux,3.2,customer rating 3.4
88,HP,Pavilion x360 11-AD022TU,4,hdd,1024,11,3999,intel,i3,2.4,intel,,windows,1.39,
89,Dell,Inspiron 5567,16,hdd,1024,15.6,74985,intel,i7,3.5,amd,,windows,2.3,
90,HP ,15-au623Tx,8,hdd,1024,15.5,5999,intel,i5,2.5,nvidia,4,windows,2.9,
91,HP,15-BS544TU,8,hdd,1024,15.6,3285,intel,i3,2,intel,,linux,2.1,
92,Lenovo,320E 80XL0378IN,4,hdd,1024,15.6,4399,intel,i5,3.1,intel,2,windows,2.2,customer rating 3.2
93,Alienware,15 Notebook,16,hdd,1024,15.6,19900,intel,i7,2.6,nvidia,8,windows,3.5,Maximum Display Resolution : 1920 x 1080 pixel
94,Dell,Inspiron 7378,8,ssd,256,13.3,77993,intel,i7,2.7,,,windows,2.8,
95,HP,15-ay511tx,8,hdd,1024,15.6,4199,intel,i3,2,amd,2,windows,2.19,
96,Acer,Aspire3 A315-51-356P ,4,hdd,1024,15.6,3041,intel,i3,2,intel,,windows,2.2,
97,Dell,Inspiron 15 5578,16,ssd,512,15.6,7699,intel,i7,2.7,intel,,windows,2.3,
98,HP,HP AR004TU,4,hdd,1024,14,3466,intel,i3,2,intel,,windows,1.94,
99,Alienware,AW13R3-7000SLV-PUS,8,ssd,256,13.3,19025,intel,i7,3,nvidia,6,windows,2.6,"13.3 inch FHD (1920 x 1080) IPS Anti-Glare 300-nits Display
1 Lithium ion batteries required. (included)"
100,HP ,Pavilion 14-bf125tx ,12,hdd,1024,14,6449,intel,i5,1.6,nvidia,2,windows,1.53,
101,Dell,Inspiron 15 Gaming 7567,16,hdd,1280,15.6,11299,intel,i7,3.8,nvidia,4,windows,2.8,"Operating System:	Windows 10 with Office 2016 Home and Student

Lithium Battery Energy Content:	74 Watt Hours

Included Components:	Laptop, Battery, AC Adapter, User Guide, Manuals"
